Country Code,Rounded Coordinates
BIH,"[(45.0, 16.25), (45.0, 16.875), (45.0, 19.375), (43.0, 18.125), (43.0, 18.75), (44.0, 17.5), (44.5, 16.25), (44.5, 16.875), (44.5, 19.375), (43.5, 17.5), (45.0, 18.75), (45.0, 18.125), (45.0, 15.625), (42.5, 18.75), (42.5, 18.125), (44.0, 16.875), (44.0, 16.25), (44.0, 19.375), (43.0, 17.5), (43.5, 16.875), (44.5, 18.125), (44.5, 15.625), (44.5, 18.75), (43.5, 19.375), (45.0, 17.5), (45.5, 16.875), (44.0, 18.125), (44.0, 18.75), (43.5, 18.125), (43.5, 18.75), (44.5, 17.5)]"
SWE,"[(61.5, 14.375), (60.0, 19.375), (62.5, 15.0), (62.5, 15.625), (64.0, 16.25), (64.0, 16.875), (56.0, 12.5), (57.0, 13.125), (57.0, 13.75), (65.5, 16.25), (65.5, 16.875), (57.5, 12.5), (68.5, 21.25), (68.5, 21.875), (58.5, 13.125), (58.5, 13.75), (60.0, 14.375), (64.0, 20.625), (64.0, 20.0), (56.0, 16.25), (64.5, 19.375), (67.0, 22.5), (65.5, 20.0), (65.5, 20.625), (57.5, 16.875), (57.5, 16.25), (63.0, 15.0), (63.0, 15.625), (61.5, 13.125), (60.0, 18.75), (60.0, 18.125), (61.5, 13.75), (64.0, 15.0), (64.0, 15.625), (64.5, 14.375), (67.0, 17.5), (59.0, 13.125), (59.0, 13.75), (65.5, 15.0), (65.5, 15.625), (57.5, 11.875), (68.5, 20.0), (68.5, 20.625), (63.0, 19.375), (60.0, 13.125), (60.0, 13.75), (60.5, 12.5), (66.0, 20.0), (66.0, 20.625), (64.5, 18.125), (64.5, 18.75), (56.5, 14.375), (67.0, 21.25), (67.0, 21.875), (59.0, 17.5), (57.5, 15.0), (57.5, 15.625), (63.0, 14.375), (60.5, 16.25), (60.5, 16.875), (66.0, 15.0), (66.0, 15.625), (66.0, 24.375), (64.5, 13.75), (67.0, 16.25), (67.0, 16.875), (59.0, 12.5), (63.0, 18.75), (63.0, 18.125), (59.5, 19.375), (63.5, 17.5), (66.0, 19.375), (56.5, 13.125), (56.5, 13.75), (67.0, 20.0), (67.0, 20.625), (59.0, 16.875), (59.0, 16.25), (67.5, 19.375), (59.5, 14.375), (63.5, 12.5), (62.0, 17.5), (60.5, 15.0), (60.5, 15.625), (66.0, 14.375), (66.0, 23.75), (66.0, 23.125), (66.5, 22.5), (59.0, 11.25), (59.0, 11.875), (58.0, 15.0), (67.5, 23.75), (67.5, 23.125), (58.0, 15.625), (62.0, 12.5), (59.5, 18.75), (59.5, 18.125), (63.5, 16.25), (63.5, 16.875), (66.0, 18.125), (66.0, 18.75), (66.5, 17.5), (67.5, 18.125), (67.5, 18.75), (58.0, 19.375), (61.0, 15.0), (61.0, 15.625), (59.5, 13.125), (59.5, 13.75), (63.5, 11.875), (62.0, 16.25), (62.0, 16.875), (65.0, 17.5), (66.5, 21.875), (66.5, 21.25), (68.0, 22.5), (58.0, 14.375), (62.0, 11.875), (66.5, 16.875), (66.5, 16.25), (65.0, 21.875), (65.0, 21.25), (68.0, 17.5), (58.0, 18.75), (58.0, 18.125), (61.0, 14.375), (58.5, 17.5), (62.5, 14.375), (65.0, 16.25), (65.0, 16.875), (57.0, 12.5), (66.5, 20.0), (66.5, 20.625), (68.0, 21.25), (68.0, 21.875), (58.0, 13.125), (58.0, 13.75), (58.5, 12.5), (61.5, 17.5), (62.5, 18.125), (64.0, 19.375), (56.0, 15.0), (56.0, 15.625), (65.0, 20.0), (65.0, 20.625), (57.0, 16.875), (57.0, 16.25), (68.0, 16.875), (65.5, 19.375), (61.0, 13.125), (61.0, 13.75), (58.5, 16.875), (58.5, 16.25), (61.5, 12.5), (60.0, 17.5), (62.5, 13.125), (62.5, 13.75), (64.0, 14.375), (65.0, 15.0), (65.0, 15.625), (57.0, 11.875), (65.5, 14.375), (68.0, 20.0), (68.0, 20.625), (65.5, 23.125), (68.5, 19.375), (58.5, 11.875), (58.5, 11.25), (60.0, 12.5), (61.5, 16.875), (61.5, 16.25), (64.0, 18.125), (64.0, 18.75), (56.0, 14.375), (64.5, 17.5), (65.5, 18.125), (65.5, 18.75), (57.5, 14.375), (68.5, 23.125), (63.0, 13.125), (63.0, 13.75), (58.5, 15.0), (58.5, 15.625), (61.5, 11.875), (60.0, 16.25), (60.0, 16.875), (64.0, 13.125), (64.0, 13.75), (64.5, 21.25), (64.5, 21.875), (65.5, 22.5), (57.5, 18.125), (57.5, 18.75), (68.5, 18.125), (68.5, 18.75), (68.0, 18.125), (63.0, 17.5), (68.0, 18.75), (60.0, 11.875), (56.0, 13.125), (56.0, 13.75), (64.5, 16.25), (64.5, 16.875), (56.5, 12.5), (67.0, 19.375), (59.0, 15.0), (59.0, 15.625), (65.5, 17.5), (57.5, 13.125), (57.5, 13.75), (68.5, 22.5), (63.0, 12.5), (63.5, 20.625), (63.5, 20.0), (60.0, 15.0), (60.0, 15.625), (60.5, 14.375), (66.0, 22.5), (64.5, 20.625), (64.5, 20.0), (56.5, 16.25), (56.5, 16.875), (67.0, 23.75), (67.0, 23.125), (67.5, 22.5), (63.0, 16.25), (63.0, 16.875), (59.5, 17.5), (63.5, 15.0), (63.5, 15.625), (60.5, 18.75), (60.5, 18.125), (66.0, 17.5), (64.5, 15.0), (64.5, 15.625), (67.0, 18.125), (67.0, 18.75), (59.0, 14.375), (67.5, 17.5), (63.0, 11.875), (59.5, 12.5), (62.0, 15.0), (62.0, 15.625), (63.5, 19.375), (60.5, 13.125), (60.5, 13.75), (66.0, 21.875), (66.0, 21.25), (56.5, 15.0), (56.5, 15.625), (59.0, 18.125), (67.5, 21.25), (67.5, 21.875), (59.5, 16.875), (59.5, 16.25), (63.5, 14.375), (60.5, 17.5), (66.0, 16.25), (66.0, 16.875), (66.5, 15.625), (55.5, 14.375), (67.5, 16.25), (67.5, 16.875), (59.5, 11.875), (62.0, 14.375), (63.5, 18.75), (63.5, 18.125), (57.0, 18.125), (66.5, 19.375), (58.0, 12.5), (67.5, 20.0), (67.5, 20.625), (69.0, 21.25), (61.0, 17.5), (59.5, 15.0), (59.5, 15.625), (63.5, 13.125), (63.5, 13.75), (62.5, 17.5), (65.0, 19.375), (57.0, 15.0), (66.5, 23.75), (57.0, 15.625), (66.5, 23.125), (55.5, 13.75), (55.5, 13.125), (58.0, 16.875), (58.0, 16.25), (61.0, 12.5), (62.0, 13.125), (62.0, 13.75), (62.5, 12.5), (65.0, 14.375), (66.5, 18.125), (66.5, 18.75), (68.0, 19.375), (58.0, 11.875), (58.0, 11.25), (69.0, 20.625), (69.0, 20.0), (61.0, 16.875), (61.0, 16.25), (61.5, 15.0), (61.5, 15.625), (62.5, 16.25), (62.5, 16.875), (64.0, 17.5), (65.0, 18.125), (65.0, 18.75), (57.0, 14.375), (68.0, 23.125), (68.0, 23.75), (65.5, 21.25), (58.5, 14.375), (62.5, 11.875), (64.0, 12.5), (64.0, 21.25), (65.0, 13.75), (57.0, 18.75), (65.5, 21.875)]"
SVN,"[(45.5, 13.75), (46.0, 14.375), (46.5, 13.125), (46.5, 13.75), (46.5, 16.25), (46.5, 16.875), (46.0, 13.75), (46.0, 13.125), (46.5, 15.0), (46.5, 15.625), (47.0, 16.25), (45.5, 15.0), (45.5, 15.625), (45.5, 14.375), (46.0, 15.625), (46.5, 14.375), (46.0, 15.0)]"
MNE,"[(42.5, 19.375), (42.0, 19.375), (42.5, 18.75), (43.0, 20.0), (43.0, 20.625), (43.5, 19.375), (42.0, 18.75), (43.0, 19.375), (43.5, 18.75), (42.5, 20.0), (43.0, 18.75)]"
SJM,"[(71.0, -8.75), (71.0, -9.375), (71.0, -8.125)]"
HRV,"[(45.0, 13.75), (45.0, 16.875), (45.0, 16.25), (45.0, 19.375), (45.5, 18.125), (45.5, 18.75), (45.5, 15.0), (45.5, 15.625), (43.0, 18.125), (44.5, 16.25), (46.0, 17.5), (46.5, 16.875), (43.5, 17.5), (46.5, 16.25), (45.0, 18.75), (45.0, 18.125), (45.0, 15.0), (45.0, 15.625), (45.5, 14.375), (45.5, 17.5), (42.5, 18.125), (42.5, 18.75), (44.0, 16.25), (44.0, 16.875), (43.0, 17.5), (43.5, 16.875), (43.5, 16.25), (44.5, 15.0), (46.0, 16.875), (44.5, 15.625), (46.0, 16.25), (46.0, 18.75), (45.0, 14.375), (45.5, 13.75), (45.0, 17.5), (45.5, 16.875), (45.5, 16.25), (45.5, 19.375), (43.0, 16.875), (43.0, 16.25), (42.5, 17.5), (44.0, 15.0), (44.5, 14.375), (46.0, 18.125), (43.5, 15.625), (44.0, 15.625), (46.0, 15.625)]"
ROU,"[(46.5, 26.25), (46.5, 26.875), (45.0, 28.75), (45.0, 28.125), (47.0, 25.0), (47.0, 25.625), (47.5, 24.375), (46.0, 20.625), (46.0, 20.0), (44.5, 25.0), (44.5, 25.625), (46.5, 28.125), (45.0, 21.875), (45.0, 21.25), (47.0, 27.5), (45.5, 29.375), (47.5, 26.25), (47.5, 26.875), (44.0, 22.5), (46.5, 21.25), (46.5, 21.875), (48.0, 22.5), (45.0, 23.125), (45.0, 23.75), (45.5, 22.5), (44.0, 24.375), (43.5, 24.375), (46.5, 23.125), (46.5, 23.75), (46.0, 27.5), (48.0, 24.375), (45.0, 25.0), (45.0, 25.625), (45.5, 24.375), (47.5, 21.875), (44.0, 26.875), (44.0, 26.25), (46.5, 25.0), (46.5, 25.625), (48.0, 26.25), (48.0, 26.875), (45.5, 26.25), (45.5, 26.875), (47.5, 23.125), (47.5, 23.75), (44.0, 28.75), (44.0, 28.125), (46.0, 22.5), (43.5, 28.75), (43.5, 28.125), (44.5, 27.5), (46.5, 27.5), (45.5, 28.75), (45.5, 28.125), (47.5, 25.0), (47.5, 25.625), (46.5, 20.625), (46.0, 24.375), (45.5, 21.25), (45.5, 21.875), (47.0, 22.5), (47.5, 27.5), (44.0, 23.75), (44.0, 23.125), (43.5, 23.75), (44.5, 22.5), (46.0, 26.25), (48.0, 23.125), (48.0, 23.75), (46.0, 26.875), (45.5, 23.125), (45.5, 23.75), (45.0, 27.5), (47.0, 24.375), (44.0, 25.625), (44.0, 25.0), (43.5, 25.625), (43.5, 25.0), (44.5, 24.375), (46.0, 28.125), (48.0, 25.0), (48.0, 25.625), (45.5, 25.0), (47.5, 22.5), (45.5, 25.625), (45.0, 29.375), (47.0, 26.25), (47.0, 26.875), (46.0, 21.25), (46.0, 21.875), (44.5, 26.875), (44.5, 26.25), (48.0, 27.5), (48.5, 26.875), (45.0, 22.5), (45.5, 27.5), (44.5, 23.125), (47.0, 28.125), (46.0, 23.125), (46.0, 23.75), (44.5, 28.75), (44.5, 28.125), (46.5, 22.5), (45.5, 20.625), (45.0, 24.375), (47.0, 21.25), (47.0, 21.875), (44.5, 21.875), (46.0, 25.0), (46.0, 25.625), (46.5, 24.375), (45.0, 26.25), (45.0, 26.875), (47.0, 23.125), (47.0, 23.75), (44.5, 23.75), (44.0, 27.5)]"
BLR,"[(53.0, 23.75), (53.0, 32.5), (54.0, 31.25), (56.0, 28.125), (56.0, 28.75), (54.0, 31.875), (53.5, 31.25), (53.5, 31.875), (55.5, 28.125), (55.5, 28.75), (52.0, 24.375), (53.0, 25.0), (53.0, 25.625), (54.0, 24.375), (56.0, 30.0), (56.0, 30.625), (53.5, 24.375), (55.5, 30.625), (55.5, 30.0), (52.0, 31.25), (52.0, 26.875), (52.0, 26.25), (51.5, 26.875), (53.0, 27.5), (54.0, 26.25), (54.0, 26.875), (53.5, 26.25), (53.5, 26.875), (52.0, 28.75), (52.0, 28.125), (51.5, 28.75), (51.5, 28.125), (54.0, 28.125), (54.0, 28.75), (53.5, 28.125), (53.5, 28.75), (54.5, 27.5), (55.0, 29.375), (52.0, 30.625), (52.0, 30.0), (51.5, 30.625), (51.5, 30.0), (52.5, 29.375), (54.0, 30.0), (54.0, 30.625), (53.5, 30.0), (53.5, 30.625), (54.5, 29.375), (55.5, 27.5), (55.0, 31.25), (52.0, 23.75), (52.0, 23.125), (51.5, 23.75), (52.5, 31.875), (52.5, 31.25), (54.0, 23.75), (53.5, 23.75), (53.5, 32.5), (55.5, 29.375), (54.5, 31.25), (52.0, 25.625), (52.0, 25.0), (52.5, 24.375), (54.0, 25.0), (54.0, 25.625), (53.5, 25.0), (53.5, 25.625), (53.0, 29.375), (55.0, 26.25), (55.0, 26.875), (52.0, 27.5), (51.5, 27.5), (52.5, 26.25), (52.5, 26.875), (53.5, 27.5), (54.5, 26.25), (53.0, 31.875), (53.0, 31.25), (54.5, 26.875), (56.0, 27.5), (55.0, 28.125), (55.0, 28.75), (51.5, 29.375), (52.5, 28.125), (52.5, 28.75), (53.0, 24.375), (53.5, 29.375), (54.5, 28.125), (54.5, 28.75), (55.0, 30.625), (54.0, 32.5), (56.0, 29.375), (55.0, 30.0), (52.5, 30.625), (52.5, 30.0), (53.0, 26.25), (53.0, 26.875), (54.5, 30.0), (54.5, 30.625), (55.5, 31.25), (51.5, 24.375), (52.5, 23.125), (52.5, 23.75), (53.0, 28.125), (55.0, 25.625), (53.0, 28.75), (54.0, 27.5), (52.5, 25.0), (52.5, 25.625), (52.0, 29.375), (54.5, 25.625), (53.0, 30.0), (53.0, 30.625), (54.0, 29.375), (56.0, 26.875), (55.0, 27.5), (55.5, 26.875), (55.5, 26.25), (52.5, 27.5), (52.0, 31.875)]"
NLD,"[(53.0, 5.0), (53.0, 5.625), (52.0, 6.875), (52.0, 6.25), (51.5, 3.75), (51.5, 3.125), (52.0, 3.75), (51.5, 6.25), (52.5, 5.625), (52.5, 5.0), (53.0, 4.375), (53.0, 7.5), (53.5, 6.25), (53.5, 6.875), (51.0, 3.75), (51.0, 6.25), (51.5, 5.0), (51.5, 5.625), (52.5, 4.375), (52.0, 5.625), (52.0, 5.0), (53.0, 6.875), (53.0, 6.25), (53.5, 5.625), (53.5, 5.0), (52.0, 4.375), (52.5, 6.875), (51.5, 4.375), (51.0, 5.625), (52.5, 6.25)]"
SVK,"[(48.5, 20.625), (48.5, 20.0), (49.5, 19.375), (49.0, 20.0), (48.5, 17.5), (49.0, 20.625), (47.5, 18.125), (49.0, 16.875), (48.0, 20.0), (49.0, 19.375), (48.0, 17.5), (48.5, 16.875), (48.5, 22.5), (49.0, 22.5), (49.5, 18.125), (49.5, 18.75), (49.5, 21.25), (49.5, 21.875), (48.5, 19.375), (47.5, 17.5), (49.0, 18.125), (48.0, 16.875), (49.0, 18.75), (49.0, 21.875), (48.0, 19.375), (49.5, 20.0), (49.5, 20.625), (48.5, 18.125), (48.5, 18.75), (48.5, 21.25), (48.5, 21.875), (48.0, 18.75), (49.0, 21.25), (48.0, 18.125), (49.0, 17.5)]"
ALB,"[(39.5, 20.625), (40.0, 20.625), (40.0, 20.0), (39.5, 20.0), (40.5, 19.375), (42.5, 20.0), (41.0, 21.25), (41.5, 20.625), (42.0, 20.625), (42.5, 19.375), (41.5, 20.0), (42.0, 20.0), (40.0, 19.375), (40.5, 21.25), (41.0, 20.625), (41.0, 20.0), (42.0, 19.375), (41.5, 19.375), (40.5, 20.625), (40.5, 20.0), (41.0, 19.375), (42.5, 20.625)]"
GIB,"[(36.0, -5.625)]"
NOR,"[(68.5, 17.5), (62.0, 8.125), (62.0, 8.75), (64.5, 10.625), (63.5, 12.5), (64.0, 14.375), (67.0, 13.75), (71.0, 29.375), (59.0, 9.375), (61.0, 6.25), (61.0, 6.875), (70.0, 18.125), (70.0, 18.75), (58.5, 9.375), (60.5, 6.25), (60.5, 6.875), (60.0, 10.625), (69.5, 18.125), (69.5, 18.75), (61.5, 5.0), (69.0, 22.5), (61.5, 5.625), (60.0, 10.0), (70.5, 26.25), (66.0, 14.375), (70.5, 26.875), (65.5, 14.375), (59.5, 7.5), (62.5, 6.25), (62.5, 6.875), (68.5, 19.375), (62.0, 10.0), (62.0, 10.625), (71.0, 22.5), (59.0, 11.875), (59.0, 11.25), (67.5, 14.375), (60.5, 8.125), (60.5, 8.75), (61.5, 7.5), (60.0, 12.5), (69.5, 20.0), (69.5, 20.625), (70.5, 19.375), (69.0, 24.375), (69.5, 29.375), (70.5, 28.125), (70.5, 28.75), (68.0, 13.125), (68.0, 13.75), (66.5, 15.625), (66.5, 15.0), (59.5, 9.375), (62.5, 8.125), (62.5, 8.75), (63.5, 7.5), (62.0, 12.5), (64.0, 9.375), (71.0, 24.375), (60.0, 5.625), (60.0, 5.0), (67.5, 16.875), (67.5, 16.25), (69.0, 17.5), (60.5, 10.0), (60.5, 10.625), (61.5, 9.375), (70.5, 21.875), (70.5, 21.25), (69.5, 22.5), (70.5, 30.0), (70.5, 30.625), (68.5, 14.375), (59.5, 5.625), (62.0, 5.625), (62.0, 5.0), (63.5, 9.375), (68.5, 23.75), (68.5, 23.125), (59.5, 11.875), (64.0, 11.25), (71.0, 26.25), (71.0, 26.875), (64.0, 11.875), (58.5, 6.875), (58.5, 6.25), (60.0, 7.5), (61.5, 11.875), (69.0, 19.375), (61.5, 11.25), (70.5, 23.125), (70.5, 23.75), (69.0, 28.75), (70.0, 27.5), (65.5, 11.875), (68.5, 16.25), (68.5, 16.875), (62.0, 7.5), (63.0, 6.875), (63.5, 11.875), (68.5, 25.0), (64.0, 13.75), (64.0, 13.125), (63.5, 11.25), (71.0, 28.125), (71.0, 28.75), (64.5, 12.5), (58.5, 8.75), (58.5, 8.125), (67.0, 15.0), (67.0, 15.625), (60.0, 9.375), (61.0, 8.125), (61.0, 8.75), (69.0, 21.875), (69.0, 21.25), (70.0, 20.625), (70.0, 20.0), (61.5, 13.125), (66.0, 13.125), (66.0, 13.75), (70.5, 25.0), (70.5, 25.625), (70.0, 29.375), (65.5, 13.125), (65.5, 13.75), (59.5, 6.25), (59.5, 6.875), (68.5, 18.75), (68.5, 18.125), (63.0, 8.125), (63.0, 8.75), (62.0, 9.375), (68.0, 18.125), (64.5, 14.375), (69.0, 14.375), (60.0, 11.875), (61.5, 6.875), (60.0, 11.25), (61.0, 10.0), (69.0, 23.75), (61.0, 10.625), (70.0, 22.5), (61.5, 6.25), (70.5, 27.5), (69.0, 23.125), (65.0, 10.625), (69.5, 31.25), (66.5, 14.375), (59.5, 8.125), (59.5, 8.75), (68.0, 15.0), (68.0, 15.625), (68.5, 20.0), (64.0, 8.75), (62.0, 11.875), (62.0, 11.25), (71.0, 23.75), (71.0, 23.125), (63.0, 10.0), (63.0, 10.625), (62.5, 10.0), (62.5, 10.625), (58.0, 7.5), (67.5, 15.0), (59.0, 6.25), (59.0, 6.875), (67.5, 15.625), (69.0, 16.875), (69.0, 16.25), (61.5, 8.125), (61.0, 12.5), (61.5, 8.75), (69.0, 25.625), (69.0, 25.0), (70.0, 24.375), (60.5, 12.5), (69.5, 24.375), (65.0, 12.5), (68.5, 13.75), (59.5, 10.625), (59.5, 10.0), (68.0, 17.5), (68.5, 22.5), (71.0, 25.0), (71.0, 25.625), (62.5, 12.5), (60.0, 6.25), (59.0, 8.125), (61.0, 5.0), (61.0, 5.625), (69.0, 18.125), (59.0, 8.75), (60.0, 6.875), (69.0, 18.75), (60.5, 5.625), (60.5, 5.0), (70.0, 26.875), (69.5, 17.5), (70.0, 26.25), (69.5, 26.25), (65.0, 14.375), (68.5, 15.0), (68.5, 15.625), (62.0, 6.25), (62.0, 6.875), (62.5, 5.625), (64.5, 11.25), (64.5, 11.875), (67.0, 14.375), (60.0, 8.125), (59.0, 10.625), (59.0, 10.0), (61.0, 7.5), (69.0, 20.625), (69.0, 20.0), (70.0, 19.375), (59.5, 11.25), (60.0, 8.75), (60.5, 7.5), (70.0, 28.75), (70.0, 28.125), (69.5, 19.375), (69.5, 28.75), (66.0, 15.0), (68.0, 12.5), (63.0, 7.5), (62.5, 7.5), (64.5, 13.75), (64.5, 13.125), (67.0, 16.25), (61.0, 9.375), (70.0, 21.25), (70.0, 21.875), (60.5, 9.375), (70.0, 30.0), (70.0, 30.625), (69.5, 21.875), (69.5, 21.25), (69.5, 30.625), (69.5, 30.0), (66.5, 13.75), (66.5, 13.125), (68.0, 14.375), (70.5, 29.375), (63.0, 9.375), (62.5, 9.375), (63.5, 8.125), (63.5, 8.75), (64.0, 10.625), (64.0, 10.0), (58.0, 6.875), (58.0, 6.25), (59.0, 5.0), (59.0, 5.625), (69.0, 15.625), (69.0, 15.0), (58.5, 5.625), (61.0, 11.25), (61.0, 11.875), (70.0, 23.125), (70.0, 23.75), (60.5, 11.25), (60.5, 11.875), (61.5, 10.0), (61.5, 10.625), (69.5, 23.125), (65.0, 11.25), (65.0, 11.875), (70.5, 22.5), (69.5, 23.75), (70.5, 31.25), (68.0, 16.875), (68.0, 16.25), (63.0, 11.875), (63.0, 11.25), (62.5, 11.875), (62.5, 11.25), (63.5, 10.0), (68.5, 24.375), (64.0, 12.5), (63.5, 10.625), (58.0, 8.125), (71.0, 27.5), (59.0, 7.5), (58.5, 7.5), (70.0, 25.0), (69.5, 16.25), (69.5, 16.875), (70.0, 25.625), (61.5, 12.5), (69.5, 25.625), (65.0, 13.75), (70.5, 24.375), (66.0, 12.5), (69.0, 29.375), (65.0, 13.125), (69.5, 25.0), (65.5, 12.5), (59.5, 5.0)]"
DNK,"[(55.0, 8.75), (55.0, 11.875), (55.0, 11.25), (55.5, 10.625), (55.5, 10.0), (55.0, 14.375), (56.0, 10.625), (56.5, 9.375), (56.0, 10.0), (57.0, 11.25), (57.0, 8.75), (57.0, 8.125), (57.5, 10.625), (57.5, 10.0), (54.5, 11.875), (54.5, 11.25), (56.5, 8.75), (56.5, 8.125), (56.0, 12.5), (55.0, 10.625), (55.0, 10.0), (55.5, 15.0), (55.5, 9.375), (56.5, 11.25), (55.5, 12.5), (57.0, 10.0), (57.0, 10.625), (57.5, 9.375), (56.0, 8.75), (56.0, 9.375), (56.0, 11.25), (55.0, 9.375), (55.0, 15.0), (54.5, 10.625), (56.0, 11.875), (55.0, 12.5), (55.5, 11.25), (55.5, 11.875), (55.5, 8.75), (55.5, 8.125), (56.0, 8.125), (56.5, 10.0), (56.5, 10.625), (57.0, 9.375), (57.5, 11.25)]"
BEL,"[(50.0, 6.25), (51.0, 4.375), (51.5, 3.125), (51.5, 3.75), (50.5, 5.0), (50.5, 5.625), (51.0, 3.75), (50.0, 5.0), (51.0, 3.125), (50.0, 5.625), (50.5, 4.375), (51.5, 5.625), (51.0, 6.25), (51.5, 5.0), (49.5, 5.625), (50.0, 4.375), (50.5, 6.25), (51.0, 2.5), (50.5, 3.75), (50.5, 3.125), (51.0, 5.625), (51.5, 4.375), (51.0, 5.0)]"
