"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2023","135.65","135.65","135.65","135.65","","0.00%"
"04/06/2023","135.65","135.65","135.65","135.65","","-3.21%"
"04/05/2023","140.15","140.15","140.15","140.15","","-2.23%"
"04/04/2023","143.35","143.35","143.35","143.35","","-3.37%"
"04/03/2023","148.35","148.35","148.35","148.35","","7.27%"
"03/31/2023","138.30","138.30","138.30","138.30","","0.47%"
"03/30/2023","137.65","137.65","137.65","137.65","","-0.15%"
"03/29/2023","137.85","137.85","137.85","137.85","","0.15%"
"03/28/2023","137.65","137.65","137.65","137.65","","0.95%"
"03/27/2023","136.35","136.35","136.35","136.35","","0.63%"
"03/24/2023","135.50","135.50","135.50","135.50","","-0.11%"
"03/23/2023","135.65","135.65","135.65","135.65","","0.00%"
"03/22/2023","135.65","135.65","135.65","135.65","","-2.16%"
"03/21/2023","138.65","138.65","138.65","138.65","","3.59%"
"03/20/2023","133.85","133.85","133.85","133.85","","-0.85%"
"03/17/2023","135.00","135.00","135.00","135.00","","-1.93%"
"03/16/2023","137.65","137.65","137.65","137.65","","1.21%"
"03/15/2023","136.00","136.00","136.00","136.00","","-1.45%"
"03/14/2023","138.00","138.00","138.00","138.00","","0.62%"
"03/13/2023","137.15","137.15","137.15","137.15","","1.59%"
"03/10/2023","135.00","135.00","135.00","135.00","","5.76%"
"03/09/2023","127.65","127.65","127.65","127.65","","3.23%"
"03/08/2023","123.65","123.65","123.65","123.65","","-0.80%"
"03/07/2023","124.65","124.65","124.65","124.65","0.01K","0.81%"
"03/06/2023","123.65","123.65","123.65","123.65","","-5.79%"
"03/03/2023","131.25","131.25","131.25","131.25","","-6.58%"
"03/02/2023","140.50","140.50","140.50","140.50","","-3.87%"
"03/01/2023","146.15","146.15","146.15","146.15","0.06K","0.10%"
"02/28/2023","146.00","146.00","146.00","146.00","","-1.78%"
"02/27/2023","148.65","148.65","148.65","148.65","0.01K","7.48%"
"02/24/2023","138.30","138.30","138.30","138.30","","-0.50%"
"02/23/2023","139.00","139.00","139.00","139.00","","1.46%"
"02/22/2023","137.00","137.00","137.00","137.00","","0.26%"
"02/21/2023","136.65","136.65","136.65","136.65","","0.74%"
"02/17/2023","135.65","135.65","135.65","135.65","","-0.88%"
"02/16/2023","136.85","136.85","136.85","136.85","","0.33%"
"02/15/2023","136.40","136.40","136.40","136.40","","1.79%"
"02/14/2023","134.00","134.00","134.00","134.00","","3.08%"
"02/13/2023","130.00","130.00","130.00","130.00","","-0.76%"
"02/10/2023","131.00","131.00","131.00","131.00","","2.34%"
"02/09/2023","128.00","128.00","128.00","128.00","","-0.66%"
"02/08/2023","128.85","128.85","128.85","128.85","","-5.01%"
"02/07/2023","135.65","135.65","135.65","135.65","","-2.76%"
"02/06/2023","139.50","139.50","139.50","139.50","","1.09%"
"02/03/2023","138.00","138.00","138.00","138.00","","0.99%"
"02/02/2023","136.65","136.65","136.65","136.65","","-3.33%"
"02/01/2023","141.35","141.35","141.35","141.35","","3.52%"
"01/31/2023","136.55","136.55","136.55","136.55","","-1.51%"
"01/30/2023","138.65","138.65","138.65","138.65","","-17.25%"
"01/27/2023","167.55","167.55","167.55","167.55","","0.84%"
"01/26/2023","166.15","166.15","166.15","166.15","","0.00%"
"01/25/2023","166.15","166.15","166.15","166.15","","-2.06%"
"01/24/2023","169.65","169.65","169.65","169.65","","-1.60%"
"01/23/2023","172.40","172.40","172.40","172.40","","-1.54%"
"01/20/2023","175.10","175.10","175.10","175.10","","-0.17%"
"01/19/2023","175.40","175.40","175.40","175.40","","0.72%"
"01/18/2023","174.15","174.15","174.15","174.15","","2.44%"
"01/17/2023","170.00","170.00","170.00","170.00","","0.59%"
"01/13/2023","169.00","169.00","169.00","169.00","","-3.29%"
"01/12/2023","174.75","174.75","174.75","174.75","","5.81%"
"01/11/2023","165.15","165.15","165.15","165.15","","-3.42%"
"01/10/2023","171.00","171.00","171.00","171.00","","-0.09%"
"01/09/2023","171.15","171.15","171.15","171.15","","-0.41%"
"01/06/2023","171.85","171.85","171.85","171.85","","-3.05%"
"01/05/2023","177.25","177.25","177.25","177.25","0.01K","-0.70%"
"01/04/2023","178.50","178.50","178.50","178.50","","-3.33%"
"01/03/2023","184.65","184.65","184.65","184.65","","-18.98%"
"12/30/2022","227.90","227.90","227.90","227.90","","0.18%"
"12/29/2022","227.50","227.50","227.50","227.50","","-0.15%"
"12/28/2022","227.85","227.85","227.85","227.85","","-0.50%"
"12/27/2022","229.00","229.00","229.00","229.00","","0.00%"
"12/23/2022","229.00","229.00","229.00","229.00","","0.00%"
"12/22/2022","229.00","229.00","229.00","229.00","","0.00%"
"12/21/2022","229.00","229.00","229.00","229.00","","0.15%"
"12/20/2022","228.65","228.65","228.65","228.65","","-1.02%"
"12/19/2022","231.00","231.00","231.00","231.00","","0.28%"
"12/16/2022","230.35","230.35","230.35","230.35","","-3.42%"
"12/15/2022","238.50","238.50","238.50","238.50","","-0.42%"
"12/14/2022","239.50","239.50","239.50","239.50","","-3.43%"
"12/13/2022","248.00","248.00","248.00","248.00","","-1.39%"
"12/12/2022","251.50","251.50","251.50","251.50","","-3.27%"
"12/09/2022","260.00","260.00","260.00","260.00","","1.40%"
"12/08/2022","256.40","256.40","256.40","256.40","0.01K","-2.51%"
"12/07/2022","263.00","263.00","263.00","263.00","","-1.31%"
"12/06/2022","266.50","266.50","266.50","266.50","","1.33%"
"12/05/2022","263.00","263.00","263.00","263.00","","-2.83%"
"12/02/2022","270.65","270.65","270.65","270.65","","1.94%"
"12/01/2022","265.50","265.50","265.50","265.50","","-3.80%"
"11/30/2022","276.00","276.00","276.00","276.00","","6.36%"
"11/29/2022","259.50","259.50","259.50","259.50","","4.01%"
"11/28/2022","249.50","249.50","249.50","249.50","","16.78%"
"11/25/2022","213.65","213.65","213.65","213.65","","-0.05%"
"11/23/2022","213.75","213.75","213.75","213.75","","0.28%"
"11/22/2022","213.15","213.15","213.15","213.15","","-2.00%"
"11/21/2022","217.50","217.50","217.50","217.50","","3.57%"
"11/18/2022","210.00","210.00","210.00","210.00","","3.70%"
"11/17/2022","202.50","202.50","202.50","202.50","","2.27%"
"11/16/2022","198.00","198.00","198.00","198.00","","-2.46%"
"11/15/2022","203.00","203.00","203.00","203.00","","4.10%"
"11/14/2022","195.00","195.00","195.00","195.00","","1.04%"
"11/11/2022","193.00","193.00","193.00","193.00","","-0.85%"
"11/10/2022","194.65","194.65","194.65","194.65","","3.54%"
"11/09/2022","188.00","188.00","188.00","188.00","","-2.46%"
"11/08/2022","192.75","192.75","192.75","192.75","","-5.05%"
"11/07/2022","203.00","203.00","203.00","203.00","","-5.87%"
"11/04/2022","215.65","215.65","215.65","215.65","","-2.86%"
"11/03/2022","222.00","222.00","222.00","222.00","","-4.00%"
"11/02/2022","231.25","231.25","231.25","231.25","0.03K","2.55%"
"11/01/2022","225.50","225.50","225.50","225.50","","2.04%"
"10/31/2022","221.00","221.00","221.00","221.00","","-17.49%"
"10/28/2022","267.85","267.85","267.85","267.85","","-0.19%"
"10/27/2022","268.35","268.35","268.35","268.35","","-0.24%"
"10/26/2022","269.00","269.00","269.00","269.00","","-0.09%"
"10/25/2022","269.25","269.25","269.25","269.25","","0.65%"
"10/24/2022","267.50","267.50","267.50","267.50","","-0.83%"
"10/21/2022","269.75","269.75","269.75","269.75","","-0.09%"
"10/20/2022","270.00","270.00","270.00","270.00","","1.12%"
"10/19/2022","267.00","267.00","267.00","267.00","","0.13%"
"10/18/2022","266.65","266.65","266.65","266.65","","-1.06%"
"10/17/2022","269.50","269.50","269.50","269.50","","-1.82%"
"10/14/2022","274.50","274.50","274.50","274.50","","0.37%"
"10/13/2022","273.50","273.50","273.50","273.50","","-2.32%"
"10/12/2022","280.00","280.00","280.00","280.00","","5.20%"
"10/11/2022","266.15","266.15","266.15","266.15","","1.39%"
"10/10/2022","262.50","262.50","262.50","262.50","","0.19%"
"10/07/2022","262.00","262.00","262.00","262.00","","-1.32%"
"10/06/2022","265.50","265.50","265.50","265.50","0.01K","-9.62%"
"10/05/2022","293.75","293.75","293.75","293.75","","-2.08%"
"10/04/2022","300.00","300.00","300.00","300.00","","-4.46%"
"10/03/2022","314.00","314.00","314.00","314.00","","-4.41%"
"09/30/2022","328.50","328.50","328.50","328.50","","0.08%"
"09/29/2022","328.25","328.25","328.25","328.25","","0.23%"
"09/28/2022","327.50","327.50","327.50","327.50","","0.00%"
