,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1",$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1"
58,-50.84554242826289,,-93.98362822597846,,-45.9671292573621,,-93.41787000000477,,-58.81518398481421,,-102.10807313397527,51.643684299546294,-101.46233511692844,51.13458388077561,-93.56816125265323,53.91161290742457
59,-49.78563434150328,,-98.99328800337389,,-44.940667225877405,,-98.78921603411436,,-63.336508898762986,,-97.2262413802091,47.802922291331924,-96.55063231498934,47.66417421353981,-92.817189289839,49.32597898581298
60,-50.926298802693964,,-93.70217670779675,,-46.29780863589258,,-92.82879410684109,,-71.62397187692113,,-94.81489057349972,44.22715340426657,-94.21610758453608,44.14170653722249,-89.19892563996837,45.989648918039165
61,-49.780221428680306,,-104.58456192398444,,-45.34551355356234,,-105.4395295381546,,-62.58055212267209,,-103.19243165105581,53.78603398951236,-103.43365303333849,53.57175610330887,-102.24088310776278,54.047346441599075
62,-50.54864124735013,,-90.59530221763998,,-45.563356816986925,,-91.24250066932291,,-71.06473369011655,,-92.80878703074995,42.554745435132645,-92.08422093803529,42.926036644144915,-91.48110590362921,43.40424628590699
63,-50.78036307965067,,-106.57064644852653,,-45.83497439779603,,-106.15020183473825,,-71.61625558533706,,-97.38129639055114,46.963358759880066,-96.95848490705248,47.14196071436163,-97.55729917669669,46.90868216654053
64,-49.89515620820748,,-96.57598447194323,,-45.84421132587158,,-96.01111297309399,,-77.11258547683246,,-94.26825314154848,44.725955921574496,-94.4423142618034,44.82480908650905,-96.63770425203256,43.85062464227667
65,-50.01564831050473,,-100.38917344994843,,-45.195609994843835,,-99.64512504637241,,-50.26456421043258,,-104.83380471775308,55.265939835691825,-104.54923698771745,54.76580867310986,-98.20947168336716,55.98334810725646
66,-50.27176119055457,,-95.14382920600474,,-45.70966917298938,,-96.53190802037716,,-64.37436975876335,,-99.40046117128804,49.452593017485924,-98.92651378770825,49.058695496758446,-94.8053360588383,51.695107416133396
67,-50.00068509054654,,-94.95986092090607,,-45.55094149782235,,-95.80058313161135,,-65.69503681710921,,-98.25241149996873,48.59852687700186,-98.00190801615827,48.383733066148125,-95.78801157488488,49.743418200232554
