,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P0,$CIV(W_t|P_t\rightarrow D_t|\emptyset)$_P1,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P0,$CIV(W_t|P_t\rightarrow D_t|\{W_{t-s}\}_{s=1}^{26})$_P1,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P0,$CIV(W_t|P_t\rightarrow D_t|D_{t-1})$_P1,"$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P0","$CIV(W_t|P_t \rightarrow D_t| \{W_{{t-s}}, P_{{t-s}}, D_{{t-s}}\}_{s=1}^{26})$_P1","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(P_t, D_{t-1})\rightarrow D_t|\emptyset)$_P1",$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|\emptyset)$_P1,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P0,$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1})\rightarrow D_t|D_{t-1})$_P1,"$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P0","$CIV(\{W_{t-s}\}_{s=0}^{26}|(\{P_{t-s}\}_{s=0}^{1}, D_{t-1})\rightarrow D_t|\emptyset)$_P1"
22,-316.87452459844826,,-86.0564713543281,,-98.78360582982714,,-83.64832485839725,,-94.33331601470127,,56.872302374918945,-371.869405979407,-89.02830569533398,-8.71277349977754,-90.01333107927348,-6.684279595967382
23,-323.4650313291404,,-101.8082393896766,,-101.57073368167039,,-90.79928362369537,,-98.94627115520416,,35.4563159563113,-357.3589743943885,-92.96489284484414,-7.640262795030139,-89.89041822194122,-14.408709901152179
24,-320.1133851565992,,-114.40557509101927,,-99.06214033452852,,-108.06828458607197,,-101.6273291654943,,28.14181494677905,-346.9388512048172,-104.19698501989478,4.61931042507058,-103.39701451919973,2.860308940988034
25,-320.931409563791,,-110.40555163193494,,-99.02622332581086,,-101.67893191147596,,-101.03500140208052,,30.48972644424066,-349.91974818508606,-101.90723404864548,2.6379107363754883,-99.81467433040962,-1.9611286821309477
26,-315.6763909727415,,-96.5277136513032,,-97.71297693235101,,-98.4181606657803,,-95.36044073331868,,49.807782274787314,-363.6986503258813,-94.32297347090207,-2.996468628407456,-96.98504880268592,2.5323348834645003
27,-321.2232634431384,,-101.4301036298275,,-100.20271403889637,,-100.48885124921799,,-98.56860278794193,,46.82706314616371,-366.3190054206643,-96.24900054081809,-3.4932519028661773,-95.94744924968109,-4.12783142994158
28,-326.8362593953698,,-109.7383269215934,,-101.95617962518008,,-110.7349179983139,,-102.28361630722065,,43.66944567102473,-368.8410253796028,-104.41309006989468,2.2361372446175665,-106.6712494752137,6.963529643369839
29,-321.77306221059007,,-85.38447930803522,,-100.4912020189222,,-92.61178300529718,,-104.5195683396887,,50.613068776903674,-370.9898699289188,-104.36373571061995,3.505301506666001,-96.48239627853036,-12.923044343711808
30,-320.36006813287895,,-126.81652012839913,,-99.94962047938316,,-117.82777462527156,,-104.50163229479222,,19.881141725112684,-339.0275362174725,-110.4039496856276,9.390044817468151,-110.8738241228275,10.433906647842377
31,-320.9688736806347,,-111.55918619316071,,-100.64835844437766,,-111.37007749080658,,-99.85943930179928,,36.49511020677164,-355.83958954247646,-101.56163988716435,0.8545212001190521,-104.97572946816217,8.135010397294536
32,-320.98595683475287,,-98.33360915910453,,-100.74407680808508,,-96.9764335155487,,-101.43260123726213,,44.98451639560517,-364.46633253397886,-100.32936288660858,-0.31124865292804316,-97.51818544603884,-6.240619402145967
33,-318.6318092394231,,-110.27507872832939,,-98.02396984549705,,-110.57120397686958,,-98.5413455699163,,47.18154734419659,-364.13121142424643,-99.31666738033528,1.2156425163848326,-99.32775340019725,1.2388241356238723
34,-323.3011290475479,,-90.60809990856797,,-101.82532729554805,,-94.1297375112772,,-98.4723573626543,,66.14485514897387,-387.56779833033215,-94.39043599728029,-6.6012541822274216,-94.98957766243257,-5.400807423284277
35,-319.94249944515104,,-105.16458919923753,,-99.1978319039481,,-109.79877825081348,,-100.43433029131847,,44.59150833403692,-363.05364332103636,-103.83625580387888,4.180612666241359,-106.28730961855035,9.290249897865579
36,-325.31725699648996,,-106.24216516595334,,-101.28397242547362,,-106.6908826828003,,-101.80420387582853,,39.490695951506495,-363.2442644900875,-102.55491794308182,1.1697387779131532,-102.60561136796605,1.2777799640316516
37,-317.69088304033176,,-100.33308144984767,,-99.72746928271954,,-95.95627145841718,,-96.52008543591364,,47.69903806154616,-363.75386641570367,-89.91837321239291,-8.72153252811404,-86.92954515235033,-15.072982545010746
38,-325.36151521527245,,-103.29744425462559,,-99.43122374013183,,-96.81964485533535,,-97.95797026343644,,42.24108329671435,-365.6410687518073,-95.89708815631457,-3.1153278833953664,-95.69387901923619,-3.5503538846969604
39,-317.4210180242153,,-94.32205582922325,,-98.90643339016242,,-96.88558920496143,,-96.66030691697961,,50.56268179498147,-366.2045584077714,-97.20837721414864,-1.4828169833635911,-101.91767510538921,8.210495026782155
40,-323.0916567105105,,-101.50817984994501,,-99.75227895606076,,-91.79916656017303,,-96.45243700104766,,48.516194406547584,-369.71275325433817,-90.47351807780797,-8.29917290864978,-88.6344052394852,-12.204639718867838
41,-324.04347824779506,,-94.3121669725515,,-99.5397318131727,,-98.82294484972954,,-98.07252948972746,,57.209113110089675,-379.268667035969,-97.43151705007767,-1.860944137093611,-99.20172277151141,1.7545196546707302
42,-316.5021682327133,,-99.4434000113979,,-98.81811245996505,,-104.61667066812515,,-100.16019182227319,,49.69113899383228,-364.68917260784656,-99.52027061226545,0.676718435366638,-96.09365908405744,-6.46415720670484
43,-323.7820453550339,,-109.35365726007149,,-102.03940297778172,,-104.79463026020676,,-104.83540004811948,,26.7539200267056,-349.272313422407,-107.68767886830028,5.07430881698383,-106.9307468214538,3.414554017595947
44,-323.2216787223224,,-86.29105819994584,,-100.8842860096338,,-92.89492673426867,,-99.86652596949716,,52.24038783740252,-373.81527878937777,-96.66310930036707,-3.705183798680082,-94.01563730835915,-9.218194292392582
45,-323.8675741710813,,-114.75437062419951,,-100.82447176770074,,-107.61788416653872,,-100.25138165950193,,35.03396814467851,-357.18671877798624,-101.88284205429954,0.9780618555378169,-104.77882180956658,7.196597148664296
46,-322.7634086365724,,-99.77115824073553,,-100.42274760574219,,-103.24927531182766,,-97.74010154473945,,53.8778047026135,-374.4985708873719,-96.29989315423882,-3.6069294446497224,-99.0412999704713,2.0211650400888175
47,-323.65913876957165,,-99.25917914463207,,-99.5304109803401,,-100.48323260992765,,-102.91140441875905,,46.78081126662437,-368.9926463216543,-104.26220241055125,4.296617908286862,-100.00637230183929,-4.63920739479363
48,-328.0144922747204,,-88.40916813770309,,-100.84084279484523,,-91.07508936524391,,-101.51520707888994,,53.72727319353726,-379.9757555103861,-98.01401650969638,-2.461041175061837,-92.0658081243746,-14.89498043130152
49,-324.07176546176925,,-96.39242158597335,,-100.90015871889773,,-97.15406725555658,,-102.35664983448805,,46.674631234724075,-369.1841240748763,-102.9466913198703,1.8946990472613834,-101.0444503132021,-2.091527708340436
50,-322.6953965959947,,-102.70031144469976,,-99.77350394819223,,-100.70512425899506,,-96.10831383767072,,51.21269230323378,-371.7872905078111,-95.62689224386122,-3.6815221667056903,-101.3535602154443,8.120049331802875
51,-328.87649040591714,,-109.40498277451843,,-102.20438705671404,,-104.50319910049438,,-102.21263642067788,,34.49313684331719,-361.7126940030139,-102.49120339285582,0.3002155334688723,-102.74501932982821,0.8497498198412359
52,-323.49671440548263,,-99.48825389007106,,-100.29549471822975,,-107.66771668195724,,-100.85032498938381,,59.69069644482806,-381.1627292535268,-102.72125161351869,2.210147238278296,-104.31386271957308,5.419403507839888
53,-324.5066817950592,,-82.0867599658668,,-102.82717209147813,,-97.49157753586769,,-103.30773468094412,,69.77077845612075,-392.4958492083242,-102.09102196648018,-0.6132253839168698,-98.91669739014469,-6.892066139029339
54,-323.00573862724195,,-101.61692366655916,,-101.16068373621965,,-95.84919675439596,,-95.95650736411335,,55.067236544564366,-376.0910771135241,-90.55891404114664,-9.470902100787498,-92.71200505050365,-5.024040716467425
55,-316.96015355932286,,-102.82037838781253,,-96.9598600234167,,-97.14141771197319,,-93.12937334505841,,49.82131243485492,-364.77744886430446,-91.66317695984617,-4.714287156763021,-96.22602457436733,4.775124437874183
56,-316.4264478326004,,-108.01776893250644,,-98.30635831406107,,-118.93079772591591,,-101.46232017458533,,50.38877220812719,-365.17103091278113,-105.22944039601134,6.263278686092235,-104.6250805023592,5.022881248733029
57,-320.09187526588903,,-90.5454668761231,,-100.5118135297671,,-96.12916684895754,,-103.07367140988936,,50.10168559127487,-368.75276805786416,-104.2580886206706,3.3857148658134975,-101.08184655639343,-3.184591155964881
58,-321.4086457020785,,-112.97248257836327,,-99.01807083598396,,-109.51946361735463,,-100.79447134150541,,29.379004282061942,-349.3423607018776,-102.32900878967484,3.0224185449187644,-101.39196127757896,0.960422808304429
59,-324.3900951547366,,-94.3989612213336,,-100.47360665304586,,-94.02011885493994,,-99.70705642263056,,55.69597118196543,-378.4829201232642,-95.4609953801264,-4.4239312124555,-91.00917097262572,-13.669940647901967
60,-324.93576097629557,,-100.99248888576403,,-102.04902359198604,,-97.71253499388695,,-106.22353803974693,,35.72771938983351,-359.5499864704907,-102.58846663468285,0.5406509658205323,-91.05564902559854,-24.84123838832602
61,-321.30214910047835,,-86.54976410791278,,-99.66122253489448,,-88.42473539710045,,-97.85091222138726,,60.309359377482906,-379.80292928032577,-91.83531880064402,-6.981764529540669,-87.01605758653022,-16.910374928964302
62,-324.9042814274926,,-83.90033358288929,,-101.29469623569457,,-91.24451750144362,,-101.90625996640301,,59.84082341345493,-383.05926557804924,-99.47182286082534,-1.5962492151884362,-94.6651332960464,-11.417807604884729
63,-321.5270659744565,,-100.14462855597958,,-101.62733681278769,,-94.15731546282768,,-102.51046840692288,,34.79008190438617,-355.0365206131246,-100.77394715481205,-0.726220574346371,-97.0588063512696,-8.808800630271435
64,-324.9637841090371,,-102.80978280398995,,-101.50469319165859,,-98.40959553280845,,-99.31747181568062,,49.47819982469082,-372.7589249559678,-94.41989764559548,-6.285372623999137,-91.7417735295603,-11.931348530342802
65,-321.12248235285915,,-93.826226035133,,-101.95923329761717,,-97.59796413779259,,-99.39642375335097,,48.052386174327694,-367.3628509728005,-99.88036372710485,-1.7646229416131973,-105.0336643649498,8.848743157926947
66,-318.97696843271297,,-89.80452549736947,,-98.8668346110353,,-92.79470229148865,,-101.09695564492722,,51.587637480464764,-369.08844099077396,-100.47295931651024,1.4964684849837795,-95.4006472134497,-9.05221052118577
